Device,G_Swap_Total,G_Swap_Free,G_Swap_Used,G_Proc_Run,G_Cpu_User,G_Cpu_Wio,G_Load_One,G_Load,G_Five,G_Load_Fifteen,G_Mem_Cached,G_Mem_Total,T_State,T_Slots,T_SlotsUsed,T_AvailMem(MB),T_TotalMem(MB)/Swap,T_Time_Last_Rec,T_LoadAve ,T_NetLoad(MB)
compute-14-18,10061.0,9994.89,66.11,2.0,49.6,0.3,1.97,2.1,3226692.0,8255316.0,481.606,432.499,2,4,4,14682.52,18122.83,28.07,1.76,1024728.88
compute-14-12,10061.0,9340.27,720.73,4.0,97.1,0.3,3.97,3.79,3391584.0,8255316.0,481.606,432.079,2,4,4,13582.76,18122.83,28.07,4.00,1067812.48
compute-14-13,10061.0,9979.11,81.88,4.0,70.3,0.9,2.57,2.42,4191684.0,8255316.0,481.606,432.668,2,4,4,14309.58,18122.83,32.07,2.44,1055099.05
compute-14-10,10061.0,9916.79,144.21,2.0,48.6,0.2,1.71,1.56,3130608.0,8255316.0,481.606,434.74,2,4,4,13324.5,18122.83,29.07,1.99,779993.27
compute-14-11,10061.0,9846.93,214.07,3.0,92.1,0.0,3.29,3.18,2656668.0,8255316.0,481.606,431.948,2,4,4,12744.02,18122.83,28.07,3.54,989143.55
compute-14-16,10061.0,9982.3,78.7,2.0,80.9,0.6,3.54,3.53,4006476.0,8255316.0,481.606,432.956,1,4,3,15939.95,18122.83,25.07,3.12,1149367.37
compute-14-17,10061.0,9990.57,70.43,4.0,96.9,0.6,3.75,3.44,4894284.0,8255316.0,481.606,433.881,2,4,4,15112.59,18122.83,31.07,3.97,1123688.04
compute-14-14,10061.0,10001.98,59.01,3.0,66.2,0.7,2.87,2.92,4152072.0,8255316.0,481.606,434.829,2,4,4,15542.53,18122.83,25.07,2.78,968014.08
compute-5-18,10061.0,9994.83,66.16,4.0,96.7,0.9,4.03,3.85,3799604.0,8255316.0,481.606,434.941,2,4,4,13935.37,18122.83,28.07,4.04,1125933.99
compute-5-39,10061.0,9989.23,71.77,4.0,95.0,2.3,4.11,3.98,5816976.0,8255316.0,481.606,433.835,2,4,4,16314.29,18122.83,27.07,4.15,1205781.6
compute-5-38,10061.0,9971.37,89.63,2.0,52.6,0.9,1.9,1.76,3767680.0,8255316.0,481.606,435.113,2,4,4,14067.57,18122.83,31.07,1.96,820962.0
compute-5-37,10061.0,10061.0,0.0,3.0,3.3,18.5,0.11,0.04,162040.0,8255316.0,481.606,453.636,4,4,0,17867.93,18122.83,17.07,0.00,902.32
compute-5-36,10061.0,9927.28,133.72,3.0,68.7,0.6,2.64,2.16,3450184.0,8255316.0,481.606,428.347,2,4,4,13489.84,18122.83,30.07,2.57,1074717.27
compute-5-35,10061.0,10002.19,58.81,4.0,76.6,2.5,3.67,3.78,4418992.0,8255316.0,481.606,435.718,2,4,4,16326.52,18122.83,30.07,3.79,1036508.14
compute-5-34,10061.0,10002.48,58.52,4.0,80.3,1.5,3.8,3.89,4422220.0,8255316.0,481.606,433.455,2,4,4,16302.55,18122.83,30.07,4.00,1226443.65
compute-5-33,10061.0,9994.98,66.02,2.0,49.1,1.0,2.02,1.91,3217660.0,8255316.0,481.606,432.841,2,4,4,14362.31,18122.83,32.07,2.07,1567109.21
compute-5-32,10061.0,9998.48,62.52,4.0,96.4,1.5,4.17,4.0,3754256.0,8255316.0,481.606,435.248,2,4,4,13912.19,18122.83,27.07,4.16,1613278.94
compute-5-30,10061.0,9893.83,167.17,3.0,71.4,2.3,3.15,3.1,4165692.0,8255316.0,481.606,433.379,2,4,4,15678.87,18122.83,33.07,3.12,1055622.45
compute-2-38,10061.0,9985.94,75.06,3.0,73.2,1.0,2.96,2.98,4255740.0,8255316.0,481.606,435.125,2,4,4,14441.24,18122.83,31.07,3.03,922755.14
